======================================================================
FEDEX INTERNATIONAL FIRST® DESTINATIONS
======================================================================
You can reach key global markets early in the day with FedEx
International First. Delivery is in 1, 2 or 3 business days to
select postal codes. Ship packages up to 150 lbs. (unlimited total
shipment weight). See below for a complete list of the cities
and postal codes served, and our delivery commitment time. For
service details, see FedEx International First in Our Services.

Delivery is available outbound from the U.S. to:
Australia          England             Mexico
Austria            France              Netherlands
Belgium            Germany             Puerto Rico
Brazil             India               Singapore
Canada             Italy               Spain
China              Japan               Switzerland
Denmark            Luxembourg



======================================================================
FEDEX INTERNATIONAL FIRST® DESTINATION POSTAL CODES
======================================================================

Effective: October 2, 2012
City                                              Postal Code                                   Del. By

ZEMST                                             1980                                          9:00am
ZWIJNDRECHT                                       2070                                          9:00am

BRAZIL
CAMPINAS                                          13010                                         10:00am
CAMPINAS                                          13013                                         10:00am
CAMPINAS                                          13015                                         10:00am
CAMPINAS                                          13054                                         10:00am
SAO PAULO                                         01021                                         10:00am
SAO PAULO                                         01238                                         10:00am
SAO PAULO                                         04004                                         10:00am
SAO PAULO                                         04077                                         10:00am
SAO PAULO                                         04717                                         10:00am
SAO PAULO                                         04734                                         10:00am
SAO PAULO                                         04735                                         10:00am
SAO PAULO                                         04736                                         10:00am
SAO PAULO                                         04737                                         10:00am
SAO PAULO                                         04738                                         10:00am
SAO PAULO                                         04739                                         10:00am
SAO PAULO                                         04740                                         10:00am
SAO PAULO                                         04741                                         10:00am
SAO PAULO                                         04742                                         10:00am
SAO PAULO                                         04743                                         10:00am
SAO PAULO                                         04744                                         10:00am
SAO PAULO                                         04745                                         10:00am
SAO PAULO                                         04746                                         10:00am
SAO PAULO                                         04747                                         10:00am
SAO PAULO                                         04748                                         10:00am
SAO PAULO                                         04749                                         10:00am
SAO PAULO                                         04750                                         10:00am

CANADA
BRAMPTON                                          L6S0                                          10:00am
BRAMPTON                                          L6S1                                          10:00am
BRAMPTON                                          L6S2                                          10:00am
BRAMPTON                                          L6S3                                          10:00am
BRAMPTON                                          L6S4                                          10:00am
BRAMPTON                                          L6S5                                          10:00am
BRAMPTON                                          L6S6                                          10:00am
BRAMPTON                                          L6S6A1                                        10:00am
BRAMPTON                                          L6S6A3                                        10:00am
BRAMPTON                                          L6S6A7                                        10:00am
BRAMPTON                                          L6S6C8                                        10:00am
BRAMPTON                                          L6S6H4                                        10:00am
BRAMPTON                                          L6T0                                          10:00am
BRAMPTON                                          L6T1                                          10:00am
BRAMPTON                                          L6T1A1                                        10:00am
BRAMPTON                                          L6T2                                          10:00am
BRAMPTON                                          L6T3                                          10:00am
BRAMPTON                                          L6T3S3                                        10:00am
BRAMPTON                                          L6T3S4                                        10:00am
BRAMPTON                                          L6T3X2                                        10:00am
BRAMPTON                                          L6T3Y9                                        10:00am
BRAMPTON                                          L6T4                                          10:00am
BRAMPTON                                          L6T4M8                                        10:00am
BRAMPTON                                          L6T4Z2                                        10:00am
BRAMPTON                                          L6T5                                          10:00am
BRAMPTON                                          L6T5J1                                        10:00am
BRAMPTON                                          L6T5M2                                        10:00am
BRAMPTON                                          L6T5M6                                        10:00am
BRAMPTON                                          L6T5N3                                        10:00am
BRAMPTON                                          L6W0                                          10:00am
BRAMPTON                                          L6W1                                          10:00am
BRAMPTON                                          L6W2                                          10:00am
BRAMPTON                                          L6W3                                          10:00am
BRAMPTON                                          L6W3P3                                        10:00am
BRAMPTON                                          L6W4                                          10:00am
